WD25CD,ward,Count
E05012841,Adel & Wharfdale,1
E05012842,Alwoodley ,6
E05011384,Ardsley & Robin Hood ,4
E05011385,Armley ,21
E05012647,Beeston & Holbeck ,27
E05011387,Bramley & Stanningley ,7
E05011388,Burmantofts & Richmond Hill ,30
E05011389,Calverley & Farsley ,13
E05011390,Chapel Allerton ,27
E05011391,Cross Gates & Whinmoor ,7
E05012648,Farnley & Wortley ,17
E05013830,Garforth & Swillington ,4
E05011394,Gipton & Harehills ,28
E05011395,Guiseley & Rawdon ,7
E05011396,Harewood ,2
E05011397,Headingley & Hyde Park ,26
E05011547,Horsforth ,5
E05011399,Hunslet & Riverside ,19
E05011400,Killingbeck & Seacroft ,21
E05011401,Kippax & Methley ,3
E05011402,Kirkstall ,16
E05011403,Little London & Woodhouse ,26
E05011404,Middleton Park ,12
E05011405,Moortown ,13
E05011406,Morley North ,7
E05011407,Morley South ,9
E05011549,Otley & Yeadon ,4
E05011409,Pudsey ,2
E05011410,Rothwell ,1
E05011411,Roundhay ,4
E05013831,Temple Newsam ,2
E05011413,Weetwood ,5
E05011414,Wetherby ,2
